nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Brasil,213993437,8515767,America
Chile,19116201,756102,America
Estados Unidos,339996563,9833517,America
Japon,125800000,377975,Asia
China,1412600000,9596961,Asia
India,1428627663,3287263,Asia
Alemania,83149300,357022,Europa
Francia,67391582,551695,Europa
España,48373336,505990,Europa
Egipto,109262178,1002450,Africa
Nigeria,223804632,923768,Africa
Sudafrica,60414495,1221037,Africa
Australia,26600000,7692024,Oceania
Nueva Zelanda,5228100,268838,Oceania
Portugal,170000000,92200,Europa
